"Date","Price","Open","High","Low","Change %"
"Oct 17","1.905","1.943","1.971","1.905","-1.77"
"Sep 17","1.939","1.710","1.954","1.599","13.72"
"Aug 17","1.705","1.844","1.857","1.669","-7.19"
"Jul 17","1.837","1.895","1.968","1.795","-2.65"
"Jun 17","1.887","1.762","1.893","1.673","7.64"
"May 17","1.753","1.814","1.951","1.713","-3.63"
"Apr 17","1.819","1.931","1.939","1.696","-5.51"
"Mar 17","1.925","1.959","2.148","1.883","-0.67"
"Feb 17","1.938","1.921","2.020","1.794","0.88"
"Jan 17","1.921","1.922","2.017","1.804","-0.67"
"Dec 16","1.934","1.855","2.124","1.788","4.60"
"Nov 16","1.849","1.320","1.906","1.153","41.69"
"","","","","",""
"","Highest:2.148","Lowest:1.153","Difference:0.995","Average:1.868","Change %:45.954"
