"Date","Price","Open","High","Low","Change %"
"Oct 17","1.297","1.300","1.315","1.294","-0.24"
"Sep 17","1.300","1.227","1.333","1.199","6.12"
"Aug 17","1.225","1.212","1.367","1.196","0.25"
"Jul 17","1.222","1.233","1.295","1.191","-1.29"
"Jun 17","1.238","1.153","1.243","1.145","7.19"
"May 17","1.155","1.063","1.192","1.063","7.64"
"Apr 17","1.073","1.032","1.102","0.977","4.48"
"Mar 17","1.027","0.932","1.068","0.916","28.37"
"Feb 17","0.800","0.831","0.862","0.772","4.30"
"Jan 17","0.767","0.849","0.998","0.736","-6.23"
"Dec 16","0.818","0.777","1.006","0.772","4.87"
"Nov 16","0.780","0.780","0.890","0.601","19.27"
"","","","","",""
"","Highest:1.367","Lowest:0.601","Difference:0.766","Average:1.058","Change %:98.303"
