"Date","Price","Open","High","Low","Change %"
"Oct 17","1.601","1.628","1.650","1.598","-1.66"
"Sep 17","1.628","1.438","1.630","1.352","13.69"
"Aug 17","1.432","1.516","1.527","1.403","-5.23"
"Jul 17","1.511","1.557","1.617","1.489","-2.45"
"Jun 17","1.549","1.443","1.554","1.402","7.94"
"May 17","1.435","1.449","1.580","1.390","-1.10"
"Apr 17","1.451","1.500","1.524","1.350","-3.07"
"Mar 17","1.497","1.554","1.700","1.476","-1.77"
"Feb 17","1.524","1.473","1.576","1.388","3.67"
"Jan 17","1.470","1.459","1.547","1.399","0.75"
"Dec 16","1.459","1.406","1.643","1.356","4.14"
"Nov 16","1.401","1.000","1.458","0.863","41.23"
"","","","","",""
"","Highest:1.700","Lowest:0.863","Difference:0.837","Average:1.497","Change %:61.391"
