"Date","Price","Open","High","Low","Change %"
"Oct 17","1.065","1.057","1.111","1.034","0.75"
"Sep 17","1.057","1.001","1.146","0.996","5.28"
"Aug 17","1.004","1.078","1.167","0.986","-7.29"
"Jul 17","1.083","1.024","1.203","1.019","6.07"
"Jun 17","1.021","0.973","1.072","0.953","4.40"
"May 17","0.978","0.803","0.996","0.803","21.79"
"Apr 17","0.803","0.767","0.846","0.762","5.38"
"Mar 17","0.762","0.553","0.808","0.546","40.85"
"Feb 17","0.541","0.528","0.980","0.492","4.44"
"Jan 17","0.518","0.482","0.660","0.482","3.19"
"Dec 16","0.502","0.508","0.647","0.447","3.51"
"Nov 16","0.485","0.366","0.683","0.359","56.96"
"","","","","",""
"","Highest:1.203","Lowest:0.359","Difference:0.844","Average:0.818","Change %:244.628"
